"COUNTRY","Country","DLVLEDUC","Level of education","DDESTPRG","Programme destination","DDURPRG","Programme duration","DPROGTYP","Programme orientation","DINSTTYP","Type of institution","DCOUNTTYP","Type of counts","DAGEGR","Age groups","DSEX","Gender","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",375204,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",402162,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",87214,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",69900,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",0,"m","Missing value"
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",67246,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",0,"m","Missing value"
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",68674,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",65194,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",92451,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",93031,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",93762,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",96359,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",94043,,
"AUT","Austria","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",94395,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",114032,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",119556,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",117535,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",117101,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",117818,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",117829,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",117562,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",117723,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",139083,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",141829,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",142436,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",139981,,
"BEL","Belgium","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",136441,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",295937,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",0,"m","Missing value"
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",0,"m","Missing value"
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",334274,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",335286,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",358512,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",360013,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",368724,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",361887.5,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",373460.12,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",385880.96,,
"CAN","Canada","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",387520.9,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",139286,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",86655,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",70115,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",119968,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",113909,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",118920,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",117489,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",119339,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",118152,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",116200,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",113083,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",110289,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",104294,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",102569,,
"CZE","Czech Republic","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",100913,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",71612,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",65076,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",68943,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",68733,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",60435,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",63444,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",62943,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",62414,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",64249,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",63675,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",67533,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",70433,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",73855,,
"DNK","Denmark","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",77048,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",73758,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",77652,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",80215,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",82675,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",81639,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",82786,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",84587,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",86452,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",87105,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",88943,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",88657,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",92343,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",92409,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",96515,,
"FIN","Finland","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",95311,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",791828,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",791828,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",796413,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",806950,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",774535,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",795236,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",795236,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",0,"m","Missing value"
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",929455,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",930686,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",933754,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",934062,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",941403,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",968694,,
"FRA","France","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",1014065,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",825677.23,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",825677.231,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",866646.573,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",867433.11,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",892312.714,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",905177.81241753,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",918031.75,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",927807.24,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",975175.65,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",966593.29,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",961139.05,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",826611.98,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",845323.38,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",869909.12,,
"DEU","Germany","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",835969.57,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",125608,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",117544,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",118406,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",96151,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",120618,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",128970,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",123897,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",125499,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",119151,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",115376,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",107141,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",110602,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",115200,,
"GRC","Greece","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2012","2012",114871,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",138637,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",131891,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",133304,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",111662,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",106283,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",111905,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",119024,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",113024,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",114769,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",109488,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",101781,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",111221,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",109225,,
"HUN","Hungary","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2011","2011",107805,,
